block,raw_step,Delta,realized_Delta_change,exact_switches,cutoff_slack,nStatus,verified
g,1.0e-5,7.565462902214857e-6,1.095414517647802e-8,0,0.267907596410941,0,true
g,-1.0e-5,7.5403103273557194e-6,-1.4198429682659348e-8,0,0.267907596410941,0,true
g,3.0e-5,7.608009785906171e-6,5.350102886779237e-8,0,0.267907596410941,0,true
g,-3.0e-5,7.532446212349238e-6,-2.2062544689140756e-8,0,0.267907596410941,0,true
g,0.0001,7.732027520342811e-6,1.775187633044321e-7,2,0.267907596410941,0,true
g,-0.0001,8.804124083089128e-6,1.249615326050749e-6,3,0.267907596410941,0,true
g,0.0003,1.1641280821756212e-5,4.086772064717833e-6,7,0.267907596410941,0,true
g,-0.0003,1.4786762195045736e-5,7.232253438007357e-6,8,0.267907596410941,0,true
g,0.001,5.223597989504024e-5,4.4681471138001863e-5,19,0.267907596410941,0,true
g,-0.001,5.518565441937049e-5,4.763114566233211e-5,19,0.267907596410941,0,true
g,0.003,0.00048057563680464765,0.00047302112804760926,63,0.267907596410941,0,true
g,-0.003,0.000416006999421168,0.0004084524906641296,58,0.267907596410941,0,true
technology,1.0e-6,7.553680493235199e-6,-8.282638031801328e-10,0,0.2679074771053438,0,true
technology,-1.0e-6,7.5553383758963195e-6,8.296188579407518e-10,0,0.2679077157165499,0,true
technology,3.0e-6,7.552028030784673e-6,-2.480726253706001e-9,0,0.2679072384941825,0,true
technology,-3.0e-6,7.448902025259324e-6,-1.0560673177905459e-7,1,0.2679079543278009,0,true
technology,1.0e-5,7.546287096362832e-6,-8.221660675546458e-9,0,0.2679064033554719,0,true
technology,-1.0e-5,7.45542056050219e-6,-9.908819653618921e-8,1,0.26790878946753316,0,true
technology,3.0e-5,7.702867118086647e-6,1.4835836104826835e-7,1,0.26790401724790147,0,true
technology,-3.0e-5,6.749568509512559e-6,-8.0494024752582e-7,2,0.2679111755840846,0,true
technology,0.0001,7.228270999847028e-6,-3.262377571913507e-7,3,0.26789566590676683,0,true
technology,-0.0001,6.96386609753383e-6,-5.906426595045485e-7,3,0.2679195270273782,0,true
participation,1.0e-6,7.554529849896384e-6,2.109285800526667e-11,0,0.2679078670026662,0,true
participation,-1.0e-6,7.554487671958635e-6,-2.108507974406368e-11,0,0.2679073258192737,0,true
participation,3.0e-6,7.554572058944531e-6,6.330190615243101e-11,0,0.2679084081862899,0,true
participation,-3.0e-6,7.554445525132102e-6,-6.323190627647917e-11,0,0.26790678463611206,0,true
participation,1.0e-5,7.508561346548451e-6,-4.594741048992776e-8,0,0.2679103023307918,0,true
participation,-1.0e-5,7.4918946193436805e-6,-6.261413769469828e-8,1,0.2679048904968653,0,true
participation,3.0e-5,7.100810172217428e-6,-4.536985848209506e-7,3,0.2679157141878179,0,true
participation,-3.0e-5,7.491476057830567e-6,-6.303269920781212e-8,1,0.26789947868603803,0,true
participation,0.0001,7.1672277923608765e-6,-3.8728096467750233e-7,4,0.2679346558693185,0,true
participation,-0.0001,7.498722072345276e-6,-5.578668469310243e-8,1,0.26788053753004903,0,true
