idx,GT,stored_Delta,stored_best_start,Delta_base,base_best,base_finite,wall_base,base_middle_solves,base_unique_inner_solves,base_fc_ga,Delta_adapt,adapt_best,adapt_finite,trigger_reason,ran_compensated,wall_adapt,adapt_middle_solves,adapt_unique_inner_solves,adapt_fc_ga,within_budget_base,within_budget_adapt,same_budget_status,delta_agree_abs
1,6.340640522201991,0.2924960965946284,cellwise_compensated,0.2970741175671966,continuation,true,69.09254121780396,2,136,329,0.2970741175671966,continuation,true,poor_kkt,true,60.437361001968384,2,136,329,true,true,true,0.0
2,6.415640522201993,0.3075741525670268,continuation,0.3075741525670268,continuation,true,3.8926727771759033,2,8,16,0.3075741525670268,continuation,true,cap_dominated,true,3.888154983520508,2,8,16,true,true,true,0.0
3,6.528140522201998,0.3320166389273324,continuation,0.3320166389273324,continuation,true,4.2509870529174805,2,8,16,0.3320166389273324,continuation,true,cap_dominated,true,4.2037060260772705,2,8,16,true,true,true,0.0
4,6.6968905222019925,0.37326626783429306,continuation,0.37326626783429306,continuation,true,4.195466995239258,2,8,16,0.37326626783429306,continuation,true,cap_dominated,true,4.161969900131226,2,8,16,true,true,true,0.0
5,6.896890522201982,0.4306572188995499,continuation,0.4306572188995499,continuation,true,4.161118030548096,2,10,20,0.4306572188995499,continuation,true,cap_dominated,true,3.938981056213379,2,10,20,true,true,true,0.0
6,7.096890522201971,0.4990186631205613,continuation,0.4990186631205613,continuation,true,4.087008953094482,2,10,20,0.4990186631205613,continuation,true,cap_dominated,true,4.085948944091797,2,10,20,true,true,true,0.0
