nthreads,benchmark,Delta,classification,wall_s,unique_A_points,unique_inner_solves,fc_calls,ga_calls,cache_hits,obj_s,grad_s,hess_s,operator_s,peak_rss_mb,cpu_seconds,cpu_util_pct,fixture_load_s
1,A,0.2970741175671966,FiniteSolved,55.82615613937378,68,68,113,52,53,7.860860805,2.774948855,25.23337932,5.722805967,1199.80078125,180.22,124.41504232181374,28.23007297515869
1,B,0.4990186631205613,FiniteSolved,3.369426965713501,5,5,5,5,6,0.595601811,0.172719069,1.559244717,0.643570092,1199.80078125,180.22,124.41504232181374,28.23007297515869
1,C,0.2970741175671966;0.3075741525670268;0.3320166389273324,segment,57.428210973739624,,76,,,,,,,,1199.80078125,180.22,124.41504232181374,28.23007297515869
