target,direction,scale,pred,secant_fd,secant_reopt,dGT_pct,lfd_ok_p,lfd_ok_m
0.1,pure_welfare,0.0001,-0.0003423678665979979,-0.00033439995241714426,-0.0003344103350616037,0.011984018940950136,true,true
0.1,pure_welfare,0.001,-0.003423678665979979,-0.0033221075644566875,-0.0033226067641415682,0.11984019819772129,true,true
0.1,gradient_descent_full,0.0001,-0.0004454922364268588,-0.0004371159985955206,-0.0004371506572080422,0.009209909087857682,true,true
0.1,gradient_descent_full,0.001,-0.0044549223642685876,-0.004382607243580784,-0.004382881550210535,0.0920990948675211,true,true
0.1,pure_A,0.0001,-3.7423996599213335e-5,-3.7423997028225575e-5,-3.742400640437821e-5,0.0,true,true
0.1,pure_A,0.001,-0.00037423996599213335,-0.0003742403949799425,-0.0003742497714927656,0.0,true,true
0.1,mixed_Aq,0.0001,2.4101969219478528e-5,2.5217124982442052e-5,2.5211232654143156e-5,0.0,true,true
0.1,mixed_Aq,0.001,0.00024101969219478525,0.0002476414251153039,0.00024744872916435123,0.0,true,true
0.1,mixed_welfare_A_q,0.0001,-0.00015125582467877984,-0.00014401803052348228,-0.00014401651099558987,0.006918976558111467,true,true
0.1,mixed_welfare_A_q,0.001,-0.0015125582467877983,-0.0014466661084108282,-0.0014465985027738715,0.06918976727241954,true,true
0.1,pure_q,0.0001,-2.9607104228060058e-5,-2.8663657819019694e-5,-2.8664930590054094e-5,0.0,true,true
0.1,pure_q,0.001,-0.00029607104228060053,-0.0002916767186698435,-0.00029167121649207456,0.0,true,true
0.5,pure_welfare,0.0001,-0.0008586128211196531,-0.0012112340701525282,-0.0012112216961524813,0.011573461173057353,true,true
0.5,pure_welfare,0.001,-0.008586128211196531,-0.012322721086371863,-0.012324402124222006,0.11573462021797809,true,true
0.5,gradient_descent_full,0.0001,-0.0009516696512123143,-0.001290150324030015,-0.001290165059963072,0.010441776864396957,true,true
0.5,gradient_descent_full,0.001,-0.009516696512123142,-0.012859909989781149,-0.012864010184973518,0.10441777487686466,true,true
0.5,pure_A,0.0001,1.5681801872205542e-5,1.5681801638328663e-5,1.568179090111199e-5,0.0,true,true
0.5,pure_A,0.001,0.00015681801872205543,0.00015681778517140366,0.0001568070508734254,0.0,true,true
0.5,mixed_Aq,0.0001,7.636383915985831e-5,8.242901357580212e-5,8.244805505117081e-5,0.0,true,true
0.5,mixed_Aq,0.001,0.0007636383915985831,0.0008188571458814242,0.0008184133720727793,0.0,true,true
0.5,mixed_welfare_A_q,0.0001,-0.00038704251197220767,-0.000609096424601413,-0.0006090986968568801,0.006681940920429952,true,true
0.5,mixed_welfare_A_q,0.001,-0.0038704251197220763,-0.006045747879055152,-0.006044195162317995,0.06681941083768095,true,true
0.5,pure_q,0.0001,-3.40696867992731e-5,-4.0708050376425664e-5,-4.0711688527761414e-5,0.0,true,true
0.5,pure_q,0.001,-0.000340696867992731,-0.00037690960027284004,-0.00037689871775067885,0.0,true,true
