call_index,f,crossed_this_call
1,0.0,false
2,0.0,false
3,-7.852868605099958e7,true
4,-3.926434320478109e7,true
5,NaN,false
6,NaN,false
7,NaN,false
8,NaN,false
9,NaN,false
10,-0.16014561446511666,false
11,-0.16014561446511666,false
12,-0.3436940286792953,false
13,-0.3436940286792953,false
14,-4.9823190135746557e8,true
