blas_threads,wall_s,n_eval,n_grad,alloc_gb,gc_time_s,knitro_status,best_gp,best_Delta,actual_blas_threads_readback
1,74.82387495040894,4,4,1.35978844,0.378173205,-401,0.973581352715489,0.30650335169890663,1
4,76.26519513130188,8,7,1.873934512,0.507098076,-401,0.970211490340413,0.4204971944090966,4
8,71.42382407188416,12,8,2.321483064,0.358893751,-401,0.9671593387941755,0.4944737810144003,8
10,64.53289794921875,10,8,2.18960416,0.35685685,-401,0.9671593387944613,0.4944737809946398,10
20,67.56399893760681,10,8,2.174113208,0.29952795,-401,0.9671593387943369,0.49447378100322503,20
