config,nStatus,wall,moved,g0,best_g,best_Delta,objective_scale_resolved
D4_unscaled,0,7.20958698,true,-0.042387309873330684,-0.05875448179614011,0.009993741342518132,nothing
D4_scaled_no_objscale_OVERRIDE,-101,1.627680734,false,-0.042387309873330684,-0.042387309873330684,7.554508757038379e-6,nothing
D4_scaled_auto_objscale,-200,4.74745144,true,-0.042387309873330684,-0.04883520538431961,0.0017159983705130131,0.0001
D20_unscaled,0,92.972781688,true,-0.418770712787832,-0.49753195534962885,0.9776878240193094,nothing
D20_scaled_no_objscale_OVERRIDE,-101,67.219324546,false,-0.418770712787832,-0.418770712787832,0.0004072069930638879,nothing
D20_scaled_auto_objscale,-200,199.859963507,true,-0.418770712787832,-0.4592246528611447,0.13859720899837544,0.0001
