branch,grid_index,fraction_to_theoretical_endpoint,gamma_d_prime,kappa_ratio,gains_from_trade_pct,A_hash,f_hash,classification,delta_star,certified_lower_bound,exact_infeasibility_kind,exact_infeasibility_block,policy,evaluation_cap,raw_lower_limit,solver_status,iterations,wall_seconds,warm_start_source,primal_dual_gap,normalization_residual,weighted_moment_residual,kkt_residual,primal_divergence,dual_divergence,min_slack,gravity_residual_A,gravity_residual_f,min_density_ratio,max_density_ratio,cold_replay_status
A_toward_min_gamma,17,0.18062500,0.6411002305,0.9629912863,3.70087137,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,5.75203233e-02,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5381,previous_finite_idx16,8.493206e-15,2.220446e-16,1.643130e-14,NaN,5.752032e-02,5.752032e-02,2.455297e-02,-3.756544e-15,5.915407e-16,2.642468e-01,3.174655e+01,not_replayed
A_toward_min_gamma,18,0.20250000,0.6390809030,0.9609680800,3.90319200,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,7.16317748e-02,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.7399,previous_finite_idx17,1.290634e-15,1.110223e-16,8.326673e-15,NaN,7.163177e-02,7.163177e-02,2.455297e-02,-3.756544e-15,5.672546e-16,2.155669e-01,3.597030e+01,not_replayed
A_toward_min_gamma,19,0.22562500,0.6369484957,0.9588292620,4.11707380,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,8.84512357e-02,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5330,previous_finite_idx18,5.245804e-15,1.110223e-16,7.882583e-15,NaN,8.845124e-02,8.845124e-02,2.455297e-02,-3.756544e-15,2.428613e-16,1.637587e-01,4.073380e+01,not_replayed
A_toward_min_gamma,20,0.25000000,0.6347033963,0.9565748321,4.34251679,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.08476799e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5258,previous_finite_idx19,3.330669e-15,0.000000e+00,2.631229e-14,NaN,1.084768e-01,1.084768e-01,2.455297e-02,-3.756544e-15,6.756748e-16,1.187354e-01,4.617543e+01,not_replayed
A_toward_min_gamma,21,0.27562500,0.6323460146,0.9542047905,4.57952095,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.32336407e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5183,previous_finite_idx20,3.358425e-15,1.110223e-16,3.019807e-14,NaN,1.323364e-01,1.323364e-01,2.455297e-02,-3.756544e-15,-1.734723e-18,7.991940e-02,5.250157e+01,not_replayed
A_toward_min_gamma,22,0.30250000,0.6298767821,0.9517191370,4.82808630,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.60849637e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5762,previous_finite_idx21,7.077672e-15,0.000000e+00,1.787459e-14,NaN,1.608496e-01,1.608496e-01,2.455297e-02,-3.756544e-15,-1.006140e-16,4.681054e-02,6.003921e+01,not_replayed
A_toward_min_gamma,23,0.33062500,0.6272961524,0.9491178718,5.08821282,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.95320804e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.6003,previous_finite_idx22,6.994405e-15,0.000000e+00,1.432050e-14,NaN,1.953208e-01,1.953208e-01,2.455297e-02,-3.756544e-15,2.879641e-16,2.307136e-02,6.936287e+01,not_replayed
A_toward_min_gamma,24,0.36000000,0.6246046011,0.9464009948,5.35990052,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,2.37714883e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5770,previous_finite_idx23,2.991773e-13,0.000000e+00,7.995470e-13,NaN,2.377149e-01,2.377149e-01,2.455297e-02,-3.756544e-15,1.812786e-16,7.948793e-03,8.153377e+01,not_replayed
A_toward_min_gamma,25,0.39062500,0.6218026264,0.9435685060,5.64314940,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,2.91535416e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.5934,previous_finite_idx24,2.498002e-15,2.220446e-16,6.439294e-15,NaN,2.915354e-01,2.915354e-01,2.455297e-02,-3.756544e-15,1.038232e-15,1.398536e-03,9.865976e+01,not_replayed
A_toward_min_gamma,26,0.42250000,0.6188907487,0.9406204054,5.93795946,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,3.63301199e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.6606,previous_finite_idx25,2.609024e-15,2.220446e-16,1.343370e-14,NaN,3.633012e-01,3.633012e-01,2.455297e-02,-3.756544e-15,-2.688821e-17,5.964670e-05,1.241397e+02,not_replayed
A_toward_min_gamma,27,0.45562500,0.6158695111,0.9375566930,6.24433070,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.64749902e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.5348,previous_finite_idx26,2.386980e-15,0.000000e+00,7.327472e-15,NaN,4.647499e-01,4.647499e-01,2.455297e-02,-3.756544e-15,1.465841e-16,2.228732e-07,1.609736e+02,not_replayed
A_toward_min_gamma,28,0.49000000,0.6127394798,0.9343773689,6.56226311,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,6.13830178e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.5543,previous_finite_idx27,7.438494e-15,0.000000e+00,1.565414e-14,NaN,6.138302e-01,6.138302e-01,2.455297e-02,-3.756544e-15,4.518955e-16,1.255780e-11,2.111831e+02,not_replayed
A_toward_min_gamma,29,0.52562500,0.6095012436,0.9310824329,6.89175671,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,8.39604342e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.5574,previous_finite_idx28,5.884182e-15,0.000000e+00,8.992806e-15,NaN,8.396043e-01,8.396043e-01,2.455297e-02,-3.756544e-15,-5.724587e-17,5.318490e-20,2.815096e+02,not_replayed
A_toward_min_gamma,30,0.56250000,0.6061554147,0.9276718852,7.23281148,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.20066101e+00,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.5658,previous_finite_idx29,1.501022e-13,0.000000e+00,1.626477e-13,NaN,1.200661e+00,1.200661e+00,2.455297e-02,-3.756544e-15,9.645063e-16,1.405953e-35,3.895067e+02,not_replayed
