tech_radius,part_radius,block,nStatus,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numfail,dg,dlogA,dlogf,gamma_prime,kappa_ratio,GT,DeltaStar,gradient_time,inner_time,native_knitro_time
0.0003,0.0003,gamma_only,0,45.23048186302185,14,14,14,0,0,-0.010048147673314078,0.0,0.0,0.6092604626638777,0.9308372033391166,0.06916279666088343,0.8603593934221736,11.311854216,8.051647129000001,25.866980518021848
0.0003,0.0003,gamma_technology,-200,111.10894393920898,564,19,19,545,0,-0.003043245124306704,0.005992495306633969,0.0,0.6135432555927922,0.9351943184084217,0.06480568159157829,0.579418095884191,14.812337071,76.61042254399999,19.686184324208995
0.0003,0.0003,gamma_participation,-200,31.849159002304077,61,10,6,59,0,-2.162813594885904e-9,0.0,5.305230412192737e-5,0.6154132607837869,0.9370935934268078,0.06290640657319224,0.4832702467784181,6.06645522,14.840125266000001,10.942578516304074
0.0003,0.0003,gamma_technology_participation,-100,81.67609000205994,234,23,41,185,0,-3.0808655626657355e-10,3.848921764341182e-5,2.4366766808890497e-5,0.6154132619252105,0.9370935945855097,0.06290640541449033,0.483287066884158,18.847055262,42.943639831999995,19.885394908059943
0.0001,0.0003,gamma_technology_participation,-200,34.334476947784424,55,10,6,53,0,-9.209392137776717e-10,3.395277669006461e-5,2.5637497893840843e-5,0.6154132615480529,0.9370935942026428,0.06290640579735718,0.48330695588904804,5.272131576,21.227625349,7.834720022784424
0.001,0.0003,gamma_technology_participation,-200,37.86905002593994,73,10,6,71,0,-8.454964506299234e-11,3.895662596789165e-5,2.4035730028087246e-5,0.6154132620627781,0.9370935947251597,0.06290640527484026,0.4832891740795484,5.732904229,23.589794601999998,8.546351194939945
0.0003,0.0001,gamma_technology_participation,-200,31.184709072113037,61,10,6,59,0,-9.235772147064836e-10,3.634896165065346e-5,2.0878425015034382e-5,0.6154132615464294,0.9370935942009948,0.0629064057990052,0.4832827158706935,4.942463888,14.604837265,11.637407919113038
0.0003,0.001,gamma_technology_participation,-200,134.1925871372223,135,13,9,130,0,-1.1300133051506123e-10,3.838802378993732e-5,2.491346601846602e-5,0.6154132620452686,0.9370935947073851,0.06290640529261493,0.4832860361441277,7.299771211,202.140758606,-75.24794267977771
