fixture,gamma_fraction,g,Delta_fixed_af,Delta_nuisance_min,Delta_reported,nuisance_ok,nStatus,wall_s,n_fc,n_ga,improved
D4_seed29_W20000,0.0,-0.042387309873330684,7.554508757038379e-6,0.002802361033446365,7.554508757038379e-6,false,-400,103.2108,656,201,false
D4_seed29_W20000,0.1,-0.07454265716112315,0.03421705188759363,0.00623364206921433,0.00623364206921433,true,-103,80.220994138,634,171,true
D4_seed29_W20000,0.2,-0.10740244391913673,0.1281329546813493,0.033422716032454974,0.033422716032454974,true,-101,34.757312752,340,72,true
D4_seed29_W20000,0.35,-0.15808256780120436,0.5720612825976092,0.17214646344397683,0.17214646344397683,true,-102,19.645184108,239,38,true
D4_seed29_W20000,0.5,-0.21053506556260235,NaN,0.5046250816900064,0.5046250816900064,true,-101,32.923655326,420,54,false
