algorithm,nStatus,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numerical_failure,dg,dlogA,dlogf,best_kappa,best_Delta,incumbent_source
active,-200,180.572117981,62,10,6,46,0,-6.403511054742239e-11,8.214678046716547e-5,5.1455633150994817e-5,0.615413262075403,0.48303869371789593,cold_verified
sqp,-101,183.372458277,193,13,32,125,0,-6.421257969790872e-11,8.219473793551668e-5,5.153426083451284e-5,0.6154132620752938,0.4830385826729245,cold_verified
