nthreads,benchmark,Delta,classification,wall_s,unique_A_points,unique_inner_solves,fc_calls,ga_calls,cache_hits,obj_s,grad_s,hess_s,operator_s,peak_rss_mb,cpu_seconds,cpu_util_pct,fixture_load_s
10,A,0.2970741175671966,FiniteSolved,39.31289315223694,68,68,113,52,53,7.49054247,2.679523793,10.199199324,5.535970951,1049.375,210.17,188.16427276593157,28.414602041244507
10,B,0.4990186631205613,FiniteSolved,2.4223978519439697,5,5,5,5,6,0.616378601,0.169891339,0.611253204,0.628367584,1049.375,210.17,188.16427276593157,28.414602041244507
10,C,0.2970741175671966;0.3075741525670268;0.3320166389273324,segment,41.54506206512451,,76,,,,,,,,1049.375,210.17,188.16427276593157,28.414602041244507
