kind,trial,opt_file,Delta_dual,nStatus
cold,1,ek_inner_loose.opt,0.0010029941762691155,0
cold,2,ek_inner_loose.opt,0.0010029941762691155,0
cold,3,ek_inner_loose.opt,0.0010029941762691155,0
warm,1,ek_inner_loose.opt,0.0010029941762691155,0
cold,1,ek_inner.opt,0.001002994176269131,0
cold,2,ek_inner.opt,0.001002994176269131,0
cold,3,ek_inner.opt,0.001002994176269131,0
warm,1,ek_inner.opt,0.001002994176269131,0
