idx,phase,g,GT,classification,Delta,within_budget,best_start,trigger_reason,lfd_ok,lfd_Delta,nStatus,unique_A_points,unique_inner_solves,n_fc_calls,n_ga_calls,wall_s,timestamp
1,anchor,-0.48546126592859407,6.290640522201974,FiniteSolved,0.2879533955407155,true,trial,anchor_establish,true,0.2879533955407155,0,64,64,108,56,32.62514615058899,2026-07-30T20:36:57.114
2,expand,-0.4934861635209845,6.790640522201974,FiniteSolved,0.35675681411966453,true,cellwise_compensated,poor_kkt,true,0.35675681411966453,0,126,126,216,114,66.17823600769043,2026-07-30T20:38:07.332
3,expand,-0.5056045874033687,7.54064052220198,FiniteSolved,0.5804581007265353,false,cellwise_compensated,poor_kkt,true,0.5804581007265353,0,127,127,172,114,72.16645908355713,2026-07-30T20:39:20.705
4,polish,-0.5012347007023732,7.270889836096406,FiniteSolved,0.4327052853218833,true,cellwise_compensated,poor_kkt,true,0.4327052853218833,0,137,137,183,104,68.54701495170593,2026-07-30T20:40:29.924
5,polish,-0.5032234075944035,7.393749054758237,FiniteSolved,0.4190639260327232,true,cellwise_compensated,poor_kkt,true,0.4190639260327232,0,130,130,130,112,70.66679406166077,2026-07-30T20:41:41.297
6,polish,-0.5044170509653036,7.467412300019383,FiniteSolved,0.4415692876687138,true,continuation,cap_dominated,true,0.44156928766871373,0,10,10,10,10,5.700815200805664,2026-07-30T20:41:47.723
7,polish,-0.5050107016641066,7.504026411110665,FiniteSolved,0.45336277718356993,true,continuation,cap_dominated,true,0.4533627771835699,0,10,10,10,10,7.912744045257568,2026-07-30T21:22:27.120
8,polish,-0.5052285988288243,7.51746184216816,FiniteSolved,0.4578357251557892,true,continuation,cap_dominated,true,0.4578357251557892,0,10,10,10,10,5.420156955718994,2026-07-30T21:22:33.888
9,polish,-0.5053578736195827,7.525431939231786,FiniteSolved,0.4604785391990552,true,continuation,cap_dominated,true,0.4604785391990552,0,10,10,10,10,6.089808940887451,2026-07-30T21:22:40.761
10,explore,-0.5096659165901373,7.790640522201963,FiniteSolved,0.5625181130368673,false,continuation,cap_dominated,true,0.5625181130368673,0,10,10,10,10,5.643659830093384,2026-07-30T21:22:47.122
11,polish,-0.5054391370555782,7.530441670956433,FiniteSolved,0.46217991485915394,true,continuation,cap_dominated,true,0.46217991485915394,0,10,10,10,10,5.366276979446411,2026-07-30T21:22:53.192
12,polish,-0.5054920387081467,7.533702808414833,FiniteSolved,0.46327277230110847,true,continuation,cap_dominated,true,0.4632727723011084,0,10,10,10,10,5.457129955291748,2026-07-30T21:22:59.380
13,polish,-0.5055273118531636,7.5358771675892555,FiniteSolved,0.4640054319256279,true,continuation,cap_dominated,true,0.46400543192562793,0,10,10,10,10,5.457490921020508,2026-07-30T21:23:05.575
