label,median_s,pct_of_total
reconstruct_full,1.2775e-6,0.007474171253360306
inner_moment_build,0.0097749935,57.189804633646844
inner_knitro_dual_solve,0.0009534395,5.578215344593521
moments_reuse,0.0002537545,1.4846219877188394
primal_weight_recovery,0.0002195485,1.2844955674507827
primal_divergence_compute,0.00012939050000000001,0.7570150728437703
kkt_residual_compute,0.00027492200000000004,1.6084650562162992
gravity_compute,1.50745e-5,0.0881952207896516
moment_resid_compute,0.00020791,1.2164030882866075
winner_compute,0.001961686,11.4770857998586
inner_dual_fg_callback (nested),0.00040443776,2.3662129781334125
inner_dual_hessian_callback (nested),0.0,0.0
inner_knitro_dual_solve (exclusive),0.0006147345600000001,3.5965803340893125
