h_mode,generic_min_s,generic_mean_s,top3_min_s,top3_mean_s,speedup_min
fixed,3.343391437,3.4549127743333337,2.848562408,2.999523073666667,1.1737118441254106
adaptive,6.503961509,6.539673459333334,4.843241293,4.935212836333334,1.3428943791010908
