stage,rho,gp,kappa,Delta_smoothed,gravity_value,grad_relerr,entropy_mean,entropy_max_possible,frac_boundary,n_outer_iters,n_eval,wall_seconds,hessopt_fallback_detected,knitro_status,opt_err
1,0.02799053946886355,0.907762389243645,0.1489528110768895,5.739639822172253,-4.9873299934333204e-18,4.444467368528085e-8,0.14598951894624818,1.3862943611198906,0.35934375,15,38,18.574315071105957,false,-410,0.05494044234894791
2,0.013392682337027844,0.9057382515504022,0.1521132489707775,0.6902010741928843,-3.6591823321385775e-19,1.9894448851271278e-8,0.07724152612810899,1.3862943611198906,0.19965625,15,42,18.51033306121826,false,-400,0.03345122326493166
3,0.005393329724008569,0.8943870859310518,0.16974939704087233,0.9952991043116319,-7.697835424647081e-18,2.9087770168227263e-8,0.032723382815279825,1.3862943611198906,0.08865625,15,38,18.050298929214478,false,-400,0.00017952191622684649
4,0.002711567930260599,0.8935749380490591,0.17100553129486673,0.9963717632034295,-7.37257477290143e-18,2.6574501565143378e-8,0.016643864199664845,1.3862943611198906,0.04659375,15,55,14.103401899337769,false,-400,0.0018289793795749545
5,4.6038029742900833e-7,0.8935749380490591,0.17100553129486673,0.9638871132143928,-7.37257477290143e-18,2.86303134493989e-8,2.950528424992442e-20,1.3862943611198906,0.0,15,64,11.167726039886475,false,-400,0.009618442743765875
