label,find_smallest,gamma_focal_prime,kappa,registered_kappa,Delta_dual,Delta_primal,primal_dual_gap,Delta_minus_delta,gravity_value,gravity_raw,max_abs_moment_resid,max_abs_moment_kkt_resid,mean_m_resid,inner_status_cold,inner_status_warm,Delta_dual_cold,Delta_dual_warm,margin_lo_gp_bound,margin_hi_gp_bound,max_abs_zfree,bounds_ok,secant_stability_h02_vs_h00625,n_poll_probes,n_poll_improvements,h_safe,scaled_eta_h01,scaled_resid_rel_h01,scaled_verified_h01,scaled_hgrid_all_pass,unscaled_eta_h01,unscaled_nu_h01,unscaled_resid_rel_h01,unscaled_verified_h01,unscaled_gravity_resid_at_x0,scaled_eta_hsafe,scaled_resid_rel_hsafe,scaled_verified_hsafe,unscaled_eta_hsafe,unscaled_nu_hsafe,unscaled_resid_rel_hsafe,unscaled_verified_hsafe,exact_feasible,classification
upper_lfixcomposite_sr1_60s,true,0.8926359584642946,0.17245688540655113,0.17245688540655113,0.9999924057789026,0.9999924057789024,2.220446049250313e-16,-7.594221097417808e-6,-3.577867169202165e-18,5.724587470723463e-17,0.4258564120541665,1.3500311979441903e-16,1.1102230246251565e-16,0,0,0.9999924057789026,0.9999924057789026,0.03986916210078728,0.10736404153570545,1.4851233069076464,true,NaN,288,1,0.01,0.011732978667736158,0.0023339761650254492,true,false,0.01173298713129471,-0.26912329661878426,0.0021739597169630276,true,-5.054320626211763e-19,0.011732978667736158,0.0023339761650254492,true,0.01173298713129471,-0.26912329661878426,0.0021739597169630276,true,true,bandwidth-KKT candidate (h_safe=0.01 only)
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,false,0.9967391744173478,0.005428799948779983,0.005428799948779983,1.0000008524079531,1.0000008524079564,3.3306690738754696e-15,8.524079531113671e-7,-3.747273758653025e-18,5.995638013844849e-17,0.1270797468883999,6.45172804070171e-15,1.3322676295501878e-15,0,0,1.0000008524079531,1.0000008524079531,0.14397237805384056,0.0032608255826521715,1.464240420901755,true,NaN,288,3,0.0013043302330608686,-0.0,1.0,false,false,-2.446137174055137e-18,2.4773963264685437e-15,1.0,false,-9.39112931615378e-19,0.0038326590617698,0.02149505513482747,true,0.003832644411274492,-0.5765150318856976,0.0215837478165121,true,true,bandwidth-KKT candidate (h_safe=0.0013 only)
lower_v2_c8finalverify,false,0.9973649883022927,0.004387827651021192,NaN,0.9941306706106116,0.9941306706106,1.1546319456101628e-14,-0.005869329389388445,-5.637851296924623e-18,9.020562075079433e-17,0.1119082131387164,4.0234482412415675e-15,3.552713678800501e-15,0,0,0.9941306706106116,0.9941306706106116,0.14459819193878543,0.0026350116977073013,1.7457822520932191,true,NaN,288,13,0.0010540046790829206,-0.0,1.0,false,false,6.281341472405808e-19,-3.871600709309812e-15,1.0,false,7.95610544361429e-19,0.0029845349010541892,0.049080596944202186,true,0.002985097472663427,1.9154977848826593,0.04712603838316423,true,true,bandwidth-KKT candidate (h_safe=0.00105 only)
