label,h,D_left,D_right,D_central,Q_central,L_central,n_switches_plus,n_switches_minus
upper_lfixcomposite_sr1_60s,0.2,NaN,-2.788655446572191,NaN,-10.977865269262889,-15.15166600842293,383,410
upper_lfixcomposite_sr1_60s,0.1,NaN,-5.207264073669209,NaN,-10.870382318418068,-11.828643475148057,182,195
upper_lfixcomposite_sr1_60s,0.05,-53.62555156302223,-6.982945381647038,-30.30424847233464,-10.92500838119943,-10.823824350432437,94,106
upper_lfixcomposite_sr1_60s,0.025,-16.453486910881832,-8.26786716658859,-12.360677038735211,-10.958593652052402,-10.55636509966539,50,57
upper_lfixcomposite_sr1_60s,0.0125,-12.835641004741962,-9.254325368234237,-11.0449831864881,-11.474411163948313,-10.643359836033737,19,32
upper_lfixcomposite_sr1_60s,0.00625,-11.504259370988876,-9.784326144178994,-10.644292757583935,-11.413147369864589,-10.556577370479943,5,18
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,0.2,4.659746494112386,NaN,NaN,61.040830126507664,341.21324160937496,368,339
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,0.1,9.651370345864727,NaN,NaN,60.74175847354402,185.9220085851777,176,182
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,0.05,16.203371699976277,NaN,NaN,61.20439864446053,108.5579356128828,83,85
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,0.025,24.51368295677461,NaN,NaN,60.62440594993934,74.16499223569056,46,39
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,0.0125,34.02964453430277,NaN,NaN,60.551064902773476,63.430802880118975,23,24
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,0.00625,42.82289026839402,106.80101606193752,74.81195316516576,61.54486947453714,61.075863454250914,13,11
lower_v2_c8finalverify,0.2,4.082035973125197,NaN,NaN,73.92996045558773,517.9727905410083,380,366
lower_v2_c8finalverify,0.1,9.499307516088455,NaN,NaN,73.7876196559922,278.0764079601634,202,184
lower_v2_c8finalverify,0.05,16.603549457382293,NaN,NaN,73.06636146632358,155.39858776535672,103,105
lower_v2_c8finalverify,0.025,26.02610750747024,NaN,NaN,72.88501095107058,99.6423066515619,62,53
lower_v2_c8finalverify,0.0125,37.22326691475226,NaN,NaN,72.51957751197445,79.99081308642279,36,26
lower_v2_c8finalverify,0.00625,48.05206142262513,196.53963135025882,122.29584638644198,71.90545160883407,75.06241711444562,21,15
