label,radius,dir_idx,sign,gp,Delta,feasible,improved
upper_lfixcomposite_sr1_60s,0.0001,31,-1.0,0.8926164681987866,1.0008578039161968,false,false
upper_lfixcomposite_sr1_60s,0.0001,32,1.0,0.8926542808139162,0.9991621155511122,true,false
upper_lfixcomposite_sr1_60s,0.0001,32,-1.0,0.8926176361146729,1.0008242268111969,false,false
upper_lfixcomposite_sr1_60s,0.0001,33,1.0,0.8926458518211439,0.9995341756816007,true,false
upper_lfixcomposite_sr1_60s,0.0001,33,-1.0,0.8926260651074452,1.0004511144091626,false,false
upper_lfixcomposite_sr1_60s,0.0001,34,1.0,0.8926638570814991,0.9987542690309678,true,false
upper_lfixcomposite_sr1_60s,0.0001,34,-1.0,0.89260805984709,1.0012339344531929,false,false
upper_lfixcomposite_sr1_60s,0.0001,35,1.0,0.8926345658256273,1.000067555084876,false,false
upper_lfixcomposite_sr1_60s,0.0001,35,-1.0,0.8926373511029618,0.9999172912323895,true,false
upper_lfixcomposite_sr1_60s,0.0001,36,1.0,0.8926841972439242,0.9978280938891179,true,false
upper_lfixcomposite_sr1_60s,0.0001,36,-1.0,0.8925877196846649,1.0021669263839157,false,false
upper_lfixcomposite_sr1_60s,0.001,1,1.0,0.8936359584642946,0.9570887118970101,true,false
upper_lfixcomposite_sr1_60s,0.001,1,-1.0,0.8916359584642946,1.0473083866368644,false,false
upper_lfixcomposite_sr1_60s,0.001,2,1.0,0.8926359584642946,0.9999554769622095,true,false
upper_lfixcomposite_sr1_60s,0.001,2,-1.0,0.8926359584642946,1.0000412863657573,false,false
upper_lfixcomposite_sr1_60s,0.001,3,1.0,0.8926359584642946,0.999974846559847,true,false
upper_lfixcomposite_sr1_60s,0.001,3,-1.0,0.8926359584642946,1.0000080842796488,false,false
upper_lfixcomposite_sr1_60s,0.001,4,1.0,0.8926359584642946,0.9999809834026495,true,false
upper_lfixcomposite_sr1_60s,0.001,4,-1.0,0.8926359584642946,1.0000217092943229,false,false
upper_lfixcomposite_sr1_60s,0.001,5,1.0,0.8926359584642946,0.9999972515332909,true,false
upper_lfixcomposite_sr1_60s,0.001,5,-1.0,0.8926359584642946,0.9999881795563992,true,false
upper_lfixcomposite_sr1_60s,0.001,6,1.0,0.8926359584642946,1.0004682163288496,false,false
upper_lfixcomposite_sr1_60s,0.001,6,-1.0,0.8926359584642946,1.0002273517752782,false,false
upper_lfixcomposite_sr1_60s,0.001,7,1.0,0.8926359584642946,1.0006520574731592,false,false
upper_lfixcomposite_sr1_60s,0.001,7,-1.0,0.8926359584642946,1.0004286866273129,false,false
upper_lfixcomposite_sr1_60s,0.001,8,1.0,0.8926359584642946,0.9998002863701504,true,false
