D,W,n_free,nTotalMoments,ctx_build_s,eval_warm_median_s,eval_warm_min_s,eval_cold_median_s,eval_cold_min_s,grad_pathwise_s,grad_pathwise_alloc_bytes,grad_Qadj_FD_s,grad_Qadj_FD_alloc_bytes,grad_Lfix_FD_s,grad_Lfix_FD_alloc_bytes,grad_Delta_FD_s,grad_Delta_FD_alloc_bytes,n_eval_reps,n_grad_reps
4,8000,17,18,50.814639925,0.043217048,0.034783575,0.046925173,0.033718088,2.2368125173999998,2.023519488e8,0.615965529,1.811082784e8,0.6589180508,1.854654112e8,3.6884851466,5.652682272e8,10,5
6,8000,37,38,2.583151325,0.162222894,0.107492015,0.207540356,0.138956247,3.474068432,4.764324208e8,2.7985036108,7.925624768e8,3.0382838076,8.020435008e8,14.920369431000001,2.3186562944e9,10,5
8,8000,65,66,3.41449505,0.408715655,0.350926555,0.980814665,0.721663975,5.417957988333334,1.2007110346666667e9,10.262683877999999,2.3586986186666665e9,7.54983824,2.3753560693333335e9,38.10651976366667,7.060940682666667e9,8,3
10,8000,101,102,0.82934675,0.233735457,0.165870496,0.238198518,0.1993985,8.411073218333334,2.7035942453333335e9,17.845987132,5.581207354666667e9,20.959516367333332,5.607097562666667e9,98.51126129699999,1.6488118016e10,5,3
4,20000,17,18,0.214391996,0.084295367,0.058507152,0.093698886,0.082171866,0.4035488413333333,2.1352446933333334e8,1.0013116253333334,4.52016208e8,0.9822576223333334,4.629014986666667e8,2.760638041,1.410639728e9,8,3
4,80000,17,18,0.830453073,0.366119181,0.306787877,0.340707096,0.337044076,1.120199508,8.53856376e8,3.596323218,1.806575608e9,3.7331290135,1.850100632e9,14.3864616145,5.637515832e9,5,2
