idx,kind,gamma_focal_prime,Delta,feasible,inner_status,gravity_value
84,G+,0.9254615424407943,0.37477875534584626,true,0,-1.7618285302889447e-18
85,G-,0.9254615424407943,0.3780083507313695,true,0,-3.925150677576428e-18
86,G+,0.9254615424407943,0.37599481012301467,true,0,-3.542291785417484e-18
87,G-,0.9254615424407943,0.37695480759314126,true,0,-3.672734859294646e-18
88,G+,0.9254615424407943,0.37740108424314456,true,0,-5.0245994431125096e-18
89,G-,0.9254615424407943,0.37666507139823824,true,0,-1.951563910473908e-18
90,G+,0.9254615424407943,0.37698642027546536,true,0,-1.4738373282224826e-18
91,G-,0.9254615424407943,0.37615265416850846,true,0,-3.9302328752599536e-18
92,G+,0.9254615424407943,0.3791673228575486,true,0,-3.7269449679189215e-18
93,G-,0.9254615424407943,0.3761181051262162,true,0,-5.739495250595139e-18
94,G+,0.9254615424407943,0.3776731390473925,true,0,-2.066760391300493e-18
95,G-,0.9254615424407943,0.37508685019057386,true,0,-5.458280312106711e-18
96,G+,0.9254615424407943,0.37760806904480454,true,0,-6.905012586017056e-18
97,G-,0.9254615424407943,0.37546291612043375,true,0,-2.786738396466648e-18
98,G+,0.9254615424407943,0.3758393371963929,true,0,-3.398296184384253e-18
99,G-,0.9254615424407943,0.3771997059572655,true,0,-3.920068479892902e-18
100,G+,0.9254615424407943,0.3777745959104575,true,0,-1.765216662077962e-18
101,G-,0.9254615424407943,0.3753409526317405,true,0,-3.9979955110402976e-18
102,F,0.9034612412190639,1.5300900364852847,false,0,-6.179952383167375e-18
103,F,0.917842204751181,0.6007572699794063,true,0,-7.09474796620202e-18
104,G+,0.927842204751181,0.30337494216177513,true,0,-7.09474796620202e-18
105,G-,0.9078422047511809,1.1524981204196412,false,0,-7.09474796620202e-18
106,G+,0.917842204751181,0.602733083317373,true,0,-5.1906179007743525e-18
107,G-,0.917842204751181,0.6002210050863757,true,0,-7.589415207398531e-18
108,G+,0.917842204751181,0.6008950047293824,true,0,-7.643625316022806e-18
109,G-,0.917842204751181,0.6007906146240947,true,0,-5.8817967857338616e-18
110,G+,0.917842204751181,0.6015628004224736,true,0,-5.739495250595139e-18
