row,branch,g,best_Delta_multistart,second_best_Delta_multistart,best_start_kind,n_feasible_of_9,n_total_starts,exact_feasible,Delta_minus_delta,knitro_status,runtime_wall_s,a_solution_key
1,low_g,0.8859910981141633,1.3819116855702511,1.3819158245516672,continuation,2,9,true,0.3856613136347591,-401,20.024181127548218,row1_g0.8859911
2,low_g,0.8926357895019496,0.9999999999999983,0.9999999999999983,continuation,2,9,true,0.009799423830803011,-101,3.786797046661377,row2_g0.89263579
3,low_g,0.8926357895019499,0.9999999999999825,NaN,continuation_only,1,1,true,0.009799423830787468,-101,0.8101911544799805,row3_g0.89263579
4,low_g,0.8926357895019514,0.9999999999999131,NaN,continuation_only,1,1,true,0.009799423830719967,-101,0.745373010635376,row4_g0.89263579
5,low_g,0.8926357895019584,0.9999999999995985,NaN,continuation_only,1,1,true,0.009799423830414655,-101,0.6878228187561035,row5_g0.89263579
6,low_g,0.8926357895019904,0.9999999999981622,NaN,continuation_only,1,1,true,0.009799423829019549,-101,0.7344460487365723,row6_g0.89263579
7,low_g,0.8926357895021374,0.9999999999915536,NaN,continuation_only,1,1,true,0.009799423822600017,-101,0.6111271381378174,row7_g0.89263579
8,low_g,0.8926357895028116,0.9999999999612498,NaN,continuation_only,1,1,true,0.00979942379316312,-101,0.7498331069946289,row8_g0.89263579
9,low_g,0.8926357895059039,0.9999999998222626,NaN,continuation_only,1,1,true,0.00979942365815245,-101,0.7813620567321777,row9_g0.89263579
10,low_g,0.8926357895200884,0.9999999991847208,NaN,continuation_only,1,1,true,0.009799423038850952,-101,0.6530640125274658,row10_g0.89263579
11,low_g,0.8926357895851528,0.9999999962602953,NaN,continuation_only,1,1,true,0.009799420198095099,-101,0.7741580009460449,row11_g0.89263579
12,low_g,0.8926357898836047,0.9999999828458968,NaN,continuation_only,1,1,true,0.009799407167491836,-101,0.7199628353118896,row12_g0.89263579
13,low_g,0.8926357912526107,0.9999999213137333,NaN,continuation_only,1,1,true,0.009799347395804237,-101,0.6898660659790039,row13_g0.89263579
14,low_g,0.8926357975322714,0.9999996390644422,NaN,continuation_only,1,1,true,0.009799073221850252,-101,0.7406549453735352,row14_g0.8926358
15,low_g,0.8926358263371534,0.9999983443856479,NaN,continuation_only,1,1,true,0.009797815584592584,-101,0.6804900169372559,row15_g0.89263583
16,low_g,0.8926359584642946,0.999992405778902,NaN,continuation_only,1,1,true,0.00979204688345181,-101,0.7821199893951416,row16_g0.89263596
17,high_g,0.960965000746595,3.321013392172364e-5,NaN,coarse_continuation,1,1,true,-0.9999683489982797,-103,3.829547882080078,row17_g0.960965
18,high_g,0.965965000746595,0.005008854127196209,NaN,coarse_continuation,1,1,true,-0.9952183389843278,-102,14.021184921264648,row18_g0.965965
19,high_g,0.970965000746595,0.0209125002036914,NaN,coarse_continuation,1,1,true,-0.9787834271564126,-101,1.6722919940948486,row19_g0.970965
20,high_g,0.975965000746595,0.05110839883590115,NaN,coarse_continuation,1,1,true,-0.9491728342537785,-101,1.131309986114502,row20_g0.975965
21,high_g,0.980965000746595,0.10448050222695886,NaN,coarse_continuation,1,1,true,-0.8982177318701201,-101,2.157499074935913,row21_g0.980965
22,high_g,0.985965000746595,0.19549655235176472,NaN,coarse_continuation,1,1,true,-0.8103817954916215,-102,6.937209129333496,row22_g0.985965
23,high_g,0.99,0.31816308634919116,NaN,fine_continuation,1,1,true,-0.6911111024351524,-101,1.0547962188720703,row23_g0.99
24,high_g,0.991,0.360348050022172,NaN,fine_continuation,1,1,true,-0.6500164506020428,-101,1.0157170295715332,row24_g0.991
25,high_g,0.992,0.40975717417226076,NaN,fine_continuation,1,1,true,-0.6018685617245875,-101,1.058701992034912,row25_g0.992
26,high_g,0.993,0.46874237489175674,NaN,fine_continuation,1,1,true,-0.5443849963331671,-101,1.085136890411377,row26_g0.993
