idx,t_elapsed,gp,Delta,feasible,verified
1,14.265507221221924,0.9840278851786317,0.0004912888939881348,true,true
2,29.680641174316406,0.9654090676670167,0.7986093076495839,true,true
3,41.940542221069336,0.9675841674017502,0.456532679574581,true,true
4,56.33679509162903,0.9654536452620839,0.7832711577718642,true,true
5,72.30684804916382,0.9634654793744563,1.6599270321567703,false,true
6,79.5901210308075,0.9644595623182701,1.0870174965223178,false,true
7,85.77950119972229,0.964956603790177,0.9139062495616727,true,true
8,101.5294132232666,0.9642632513523302,1.161944834912138,false,true
9,114.71762418746948,0.9648483177793555,0.9393549384928535,true,true
10,128.63649320602417,0.964549228257753,1.040364854848667,false,true
11,135.66808819770813,0.9647638353242904,0.9644693813243687,true,true
12,149.08273720741272,0.9645097675206922,1.0236509718915339,false,true
13,156.19971418380737,0.9646314072888208,0.9850272624990489,true,true
15,303.7855591773987,0.9563771318190905,5.505252179503792,false,true
16,312.0668442249298,0.9605042695539556,1.2607241702483316,false,true
17,320.24999618530273,0.9625678384213883,1.0483858555756154,false,true
19,410.7458221912384,0.9599912094199521,1.3642877538494644,false,true
20,417.5887050628662,0.9616721541914205,0.762196626053357,true,true
21,424.27464509010315,0.9567048252333046,1.161944834912138,false,true
22,432.98629808425903,0.958046139399249,1.24895738917609,false,true
23,440.50160121917725,0.9591884897123626,1.0063394848146396,false,true
24,447.52231216430664,0.9604303219518915,0.8504694204537049,true,true
25,461.7860760688782,0.9579019431753657,1.2679866821274535,false,true
26,468.8580331802368,0.9592865858502378,0.9619910701857197,true,true
27,482.0518410205841,0.9589953901714331,1.012970069370076,false,true
28,489.02795815467834,0.9591462575686343,0.9833492822107542,true,true
30,584.475937128067,0.9567371890659986,2.0032665512382914,false,true
31,589.6371550559998,0.9641561589936575,0.346298597887433,true,true
32,598.4231910705566,0.9579417233173164,1.1633125171135623,false,true
33,605.5730152130127,0.9592494414039041,0.8130018754464533,true,true
34,612.5128841400146,0.9585439904429753,1.0365271192791146,false,true
35,618.9043111801147,0.9589299848409272,0.940250255942263,true,true
