nthreads,hess_serial_median_s,hess_threaded_median_s,hess_speedup,cold_solve_serial_median_s,cold_solve_threaded_median_s,cold_solve_speedup
1,3.329930107,3.474943076,0.9582689656122585,3.817731898,2.98393341,1.2794293214472234
5,3.20538917,1.241454062,2.581963576514521,2.319601471,2.361417521,0.9822919709758519
10,3.137703088,1.009164803,3.1092078109267947,2.213677991,2.274169341,0.9734006835333553
20,3.131347876,1.143644744,2.738042466795965,2.190735056,1.948101731,1.1245485906300443
