arm_key,label,n,total_s,mean_s,median_s
originzc|FULL|W500000,inner_dual_hessian_callback_archA_partitioned,12,44.166235949,3.6805196624166663,3.473604517
originzc|FULL|W500000,originZC_H_EE_core,12,1.3824626070000001,0.11520521725,0.1102727785
originzc|FULL|W500000,originZC_H_EZ_fill,12,18.105116339,1.5087596949166666,1.4944620625
originzc|FULL|W500000,originZC_H_EZ_prep,12,1.192745874,0.0993954895,0.0036620675000000004
originzc|FULL|W500000,originZC_H_ZZ_gram,12,22.219947836,1.8516623196666666,1.768474861
originzc|FULL|W500000,originZC_H_ZZ_weight,12,0.000678103,5.650858333333333e-5,5.62685e-5
originzc|FULL|W500000,originZC_misc,12,1.190613597,0.09921779975,0.082945402
originzc|FULL|W500000,originZC_pack,12,0.024217954,0.0020181628333333333,0.0018998930000000002
originzc|REDUCED_BASELINE|W500000,inner_dual_hessian_callback_archA_partitioned,8,137.435341545,17.179417693125,17.0606853145
originzc|REDUCED_BASELINE|W500000,originZC_misc,8,0.019543615,0.002442951875,0.002438661
originzc|REDUCED_BASELINE|W500000,originZC_pack,8,0.017017195000000002,0.0021271493750000003,0.002027768
cmzc|REDUCED_BASELINE|W500000,hessw_operator_prep,8,0.000109267,1.3658375e-5,1.2341e-5
cmzc|REDUCED_BASELINE|W500000,inner_dual_hessian_callback_archC,8,294.616572682,36.82707158525,37.0649317825
cmzc|FULL|W500000,H_CC,9,0.089877075,0.009986341666666667,0.010043759
cmzc|FULL|W500000,H_CZ_prep,9,15.387546941,1.709727437888889,1.707516411
cmzc|FULL|W500000,H_EC_asm,9,0.113012469,0.012556941,0.012114138
cmzc|FULL|W500000,H_EC_prep,9,2.9951473390000003,0.3327941487777778,0.331290242
cmzc|FULL|W500000,H_EE,9,40.008125717,4.445347301888889,3.998411462
cmzc|FULL|W500000,H_EE_core,9,0.922430418,0.10249226866666666,0.103280238
cmzc|FULL|W500000,H_ER,9,15.253168296,1.6947964773333333,1.701217717
cmzc|FULL|W500000,H_ER_prep,9,8.385278429,0.9316976032222222,0.654098787
cmzc|FULL|W500000,H_ZZ,9,15.388529389000002,1.709836598777778,1.500861861
cmzc|FULL|W500000,bintables_prep,9,4.148781938000001,0.46097577088888897,0.449070288
cmzc|FULL|W500000,ddpsi,9,0.024290478999999997,0.002698942111111111,0.002593407
cmzc|FULL|W500000,hessw_operator_prep,9,0.000100157,1.1128555555555555e-5,9.614e-6
cmzc|FULL|W500000,inner_dual_hessian_callback_archC,9,62.924865884999996,6.991651764999999,6.566151595
cmzc|FULL|W500000,misc_bookkeeping,9,0.06192687799999999,0.006880764222222221,0.004599764
cmzc|FULL|W500000,packing,9,0.095409189,0.010601021,0.010510953
cmzc|REDUCED_DRAWMAJOR_ONLY|W500000,hessw_operator_prep,8,9.4719e-5,1.1839875e-5,1.2033000000000002e-5
cmzc|REDUCED_DRAWMAJOR_ONLY|W500000,inner_dual_hessian_callback_archC,8,173.625922228,21.7032402785,21.3900064785
cmzc|REDUCED_DRAWMAJOR_PLUS_HCZ|W500000,hessw_operator_prep,7,7.945900000000001e-5,1.1351285714285717e-5,1.0205e-5
cmzc|REDUCED_DRAWMAJOR_PLUS_HCZ|W500000,inner_dual_hessian_callback_archC,7,54.217509760999995,7.745358537285713,7.604781705
cmzc|REDUCED_ALL_ACCEPTED|W500000,H_CC,7,0.038043799999999996,0.005434828571428571,0.005433313
cmzc|REDUCED_ALL_ACCEPTED|W500000,H_CZ_prep,7,11.947284801,1.7067549715714285,1.703032619
cmzc|REDUCED_ALL_ACCEPTED|W500000,H_EC_asm,7,0.233473586,0.03335336942857143,0.033320319
cmzc|REDUCED_ALL_ACCEPTED|W500000,H_EC_prep,14,7.268512437999998,0.5191794598571428,0.498689324
cmzc|REDUCED_ALL_ACCEPTED|W500000,H_EE,7,33.408234094,4.772604870571429,4.689217127
cmzc|REDUCED_ALL_ACCEPTED|W500000,bintables_prep,7,2.154223293,0.30774618471428566,0.292329269
cmzc|REDUCED_ALL_ACCEPTED|W500000,ddpsi,7,0.016119841,0.0023028344285714285,0.002314265
cmzc|REDUCED_ALL_ACCEPTED|W500000,hessw_operator_prep,7,7.773100000000002e-5,1.1104428571428574e-5,1.1158e-5
cmzc|REDUCED_ALL_ACCEPTED|W500000,inner_dual_hessian_callback_archC,7,55.173083495,7.881869070714286,7.792950241
cmzc|REDUCED_ALL_ACCEPTED|W500000,misc_bookkeeping,7,0.031586846,0.004512406571428572,0.004508254
cmzc|REDUCED_ALL_ACCEPTED|W500000,packing,7,0.07432627,0.010618038571428571,0.010447598
originzc|REDUCED_ALL_ACCEPTED|W500000,inner_dual_hessian_callback_archA_partitioned,8,37.596069885,4.699508735625,4.593214497
originzc|REDUCED_ALL_ACCEPTED|W500000,originZC_misc,8,0.020964992,0.002620624,0.0024928785
originzc|REDUCED_ALL_ACCEPTED|W500000,originZC_pack,8,0.021832811,0.002729101375,0.0027995779999999996
