family,point,check,key,maxdiff,tol,pass
origin_zc,calibration,H_EZ_threaded_vs_serial,workers=8,0.0,1.0e-12,true
origin_zc,calibration,H_ZZ_blas_syrk_vs_reference,K1_1,6.217248937900877e-15,1.0e-9,true
origin_zc,calibration,H_ZZ_blas_gemm_vs_reference,K1_1,6.217248937900877e-15,1.0e-9,true
origin_zc,calibration,H_ZZ_threaded_packed_vs_reference,K1_1_workers=8,1.247890679678676e-13,1.0e-9,true
origin_zc,non_calibration,H_EZ_threaded_vs_serial,workers=8,0.0,1.0e-12,true
origin_zc,non_calibration,H_ZZ_blas_syrk_vs_reference,K1_1,6.217248937900877e-15,1.0e-9,true
origin_zc,non_calibration,H_ZZ_blas_gemm_vs_reference,K1_1,6.217248937900877e-15,1.0e-9,true
origin_zc,non_calibration,H_ZZ_threaded_packed_vs_reference,K1_1_workers=8,9.85878045867139e-14,1.0e-9,true
origin_zc,solver_trajectory,H_EZ_threaded_vs_serial,workers=8,0.0,1.0e-12,true
origin_zc,solver_trajectory,H_ZZ_blas_syrk_vs_reference,K1_1,5.773159728050814e-15,1.0e-9,true
origin_zc,solver_trajectory,H_ZZ_blas_gemm_vs_reference,K1_1,5.773159728050814e-15,1.0e-9,true
