family,L,contrasts,method,point,n_var,ferr_abs,frel,gerr_abs,grel,pass
flexible_cm,50,orthonormal,suffix,solver_derived_calib,168,1.0408340855860843e-17,1.0408340855860843e-17,2.8023127799740405e-16,2.8023127799740405e-16,PASS
flexible_cm,50,orthonormal,suffix,random_1,168,0.0,0.0,3.0639553394440355e-16,3.0639553394440355e-16,PASS
flexible_cm,50,orthonormal,suffix,random_2,168,1.734723475976807e-18,1.734723475976807e-18,5.156465532341059e-16,5.156465532341059e-16,PASS
flexible_cm,50,orthonormal,suffix,random_3,168,5.204170427930421e-18,5.204170427930421e-18,1.9873425821659296e-16,1.9873425821659296e-16,PASS
flexible_cm,50,orthonormal,suffix,random_4,168,0.0,0.0,2.0816681711721685e-16,2.0816681711721685e-16,PASS
flexible_cm,50,orthonormal,suffix,random_5,168,0.0,0.0,3.400058012914542e-16,3.400058012914542e-16,PASS
flexible_cm,50,orthonormal,suffix,random_6,168,0.0,0.0,3.0010716134398763e-16,3.0010716134398763e-16,PASS
common_frechet,10,anchored,suffix,knitro_init,58,0.0,0.0,1.7694179454963432e-16,1.7694179454963432e-16,PASS
common_frechet,10,anchored,suffix,solver_derived_calib,58,3.122502256758253e-17,3.122502256758253e-17,6.737232299824925e-16,6.737232299824925e-16,PASS
common_frechet,10,anchored,suffix,random_1,58,6.938893903907228e-18,6.938893903907228e-18,5.655198531684391e-16,5.655198531684391e-16,PASS
common_frechet,10,anchored,suffix,random_2,58,8.673617379884035e-18,8.673617379884035e-18,3.5561831257524545e-16,3.5561831257524545e-16,PASS
common_frechet,10,anchored,suffix,random_3,58,9.540979117872439e-18,9.540979117872439e-18,3.712308238590367e-16,3.712308238590367e-16,PASS
common_frechet,10,anchored,suffix,random_4,58,1.474514954580286e-17,1.474514954580286e-17,2.5500435096859064e-16,2.5500435096859064e-16,PASS
common_frechet,10,anchored,suffix,random_5,58,1.214306433183765e-17,1.214306433183765e-17,6.38378239159465e-16,6.38378239159465e-16,PASS
common_frechet,10,anchored,suffix,random_6,58,6.938893903907228e-18,6.938893903907228e-18,3.8163916471489756e-16,3.8163916471489756e-16,PASS
