g,Delta,feasible,knitro_status,n_eval,wall,source
0.960965000746595,3.321013392172364e-5,true,-101,64,0.9547731876373291,coarse_continuation
0.965965000746595,0.005008854127196209,true,-102,127,2.6440060138702393,coarse_continuation
0.970965000746595,0.0209125002036914,true,-102,407,7.57689905166626,coarse_continuation
0.975965000746595,0.05110839883590115,true,-101,87,1.499021053314209,coarse_continuation
0.980965000746595,0.10448050222695886,true,-101,53,0.9930310249328613,coarse_continuation
0.985965000746595,0.19549655235176472,true,-101,67,1.0251669883728027,coarse_continuation
0.99,0.31816308634919116,true,-101,67,1.0388400554656982,fine_continuation
0.991,0.360348050022172,true,-101,67,1.0777158737182617,fine_continuation
0.992,0.40975717417226076,true,-101,67,0.9140582084655762,fine_continuation
0.993,0.46874237489175674,true,-101,67,1.0633258819580078,fine_continuation
0.994,0.5410771291247471,true,-101,67,1.1107120513916016,fine_continuation
0.995,0.6334617465028688,true,-102,57,0.9295721054077148,fine_continuation
0.996,0.7595542862675568,true,-102,57,0.9343860149383545,fine_continuation
0.997,0.9524079674525731,true,-102,46,0.8020279407501221,fine_continuation
0.998,1.3116628637632348,true,-102,57,1.107388973236084,fine_continuation
0.999,2.314392305571559,true,-102,58,1.0671110153198242,fine_continuation
1.0,NaN,false,0,1,0.0497279167175293,fine_continuation
0.9967391744173478,1.000000852407954,true,-101,67,1.1771938800811768,lower_incumbent_mandatory_start
