regime,step,cert_frac,rescan_frac,switch_frac,cert_ms,full_ms,speedup,cert_kb,full_kb,maxabs_delta
accepted,0.001,0.9995,0.0005,0.6015625,0.1027,1.784588,17.376708860759493,254.0234375,1751.34375,0.00043261289445624407
accepted,0.005,0.99737109375,0.00262890625,0.5824665676077266,0.0958565,1.784588,18.617287299244182,254.0234375,1751.34375,0.0025258540244168237
line-search,0.02,0.98774609375,0.01225390625,0.5753905004781639,0.103535,1.784588,17.236567344376297,254.0546875,1751.34375,0.010630321258985345
line-search,0.05,0.9724609375,0.0275390625,0.5774468085106383,0.1186865,1.784588,15.036149856976152,254.0546875,1751.34375,0.021535947622999208
continuation,0.1,0.95021484375,0.04978515625,0.6218124754805806,0.228728,1.784588,7.802227973837922,254.0546875,1751.34375,0.04155717409981785
continuation,0.2,0.8916796875,0.1083203125,0.5900468806346917,0.141807,1.784588,12.584625582658122,254.0546875,1751.34375,0.1044033108066372
far,0.5,0.76991796875,0.23008203125,0.6225021646491571,0.2260045,1.784588,7.896249853432122,254.0546875,1751.34375,0.23183875776125362
far,1.0,0.656453125,0.343546875,0.6897143766771274,0.199174,1.784588,8.959944571078555,254.0546875,1751.34375,0.367279359012113
