idx,kind,gamma_focal_prime,Delta,feasible,inner_status,gravity_value
394,G+,0.8991806610091703,1.0091609155363892,false,0,-8.131516293641283e-18
395,G-,0.8991806610091703,0.9993167861062714,true,0,-9.324138683375338e-18
396,G+,0.8991806610091703,1.0016639605880964,false,0,-6.5052130349130266e-18
397,G-,0.8991806610091703,1.00477264969614,false,0,-5.421010862427522e-18
398,G+,0.8991806610091703,1.002690910806674,false,0,-9.215718466126788e-18
399,G-,0.8991806610091703,1.0045702381676702,false,0,-6.938893903907228e-18
400,G+,0.8991806610091703,0.9995321992290293,true,0,-6.7220534694101275e-18
401,G-,0.8991806610091703,0.9995869766626547,true,0,-8.023096076392733e-18
402,G+,0.8991806610091703,1.0090646439146513,false,0,-6.396792817664476e-18
403,G-,0.8991806610091703,0.997527714602172,true,0,-6.179952383167375e-18
404,F,0.89916990930695,1.0005100792345953,false,0,-5.854691731421724e-18
405,G+,0.90916990930695,0.5834057584588863,true,0,-5.854691731421724e-18
406,G-,0.88916990930695,2.6617889996251227,false,0,-5.854691731421724e-18
407,G+,0.89916990930695,1.001299683764614,false,0,-5.854691731421724e-18
408,G-,0.89916990930695,1.0016076091917347,false,0,-8.998878031629687e-18
409,G+,0.89916990930695,1.0009657160932608,false,0,-5.312590645178972e-18
410,G-,0.89916990930695,1.0005814757404072,false,0,-6.288372600415926e-18
411,G+,0.89916990930695,1.000279572512946,false,0,-5.9631119486702744e-18
412,G-,0.89916990930695,1.0035884412427698,false,0,-4.553649124439119e-18
413,G+,0.89916990930695,1.002310087905781,false,0,-9.86623976961809e-18
414,G-,0.89916990930695,1.0059420560896426,false,0,-5.637851296924623e-18
415,G+,0.89916990930695,0.9984878761207001,true,0,-4.662069341687669e-18
416,G-,0.89916990930695,1.0025244136070066,false,0,-5.637851296924623e-18
417,G+,0.89916990930695,1.011813598020733,false,0,-7.697835424647081e-18
418,G-,0.89916990930695,0.9961756682679069,true,0,-8.998878031629687e-18
419,G+,0.89916990930695,0.9984398330996718,true,0,-4.553649124439119e-18
420,G-,0.89916990930695,1.00284637901478,false,0,-7.589415207398531e-18
421,G+,0.89916990930695,0.9985162802469645,true,0,-5.421010862427522e-18
422,G-,0.89916990930695,1.0023486726376554,false,0,-5.204170427930421e-18
423,G+,0.89916990930695,1.0010105156605829,false,0,-6.396792817664476e-18
424,G-,0.89916990930695,1.0009668273815278,false,0,-4.336808689942018e-18
425,G+,0.89916990930695,1.0015684238199223,false,0,-5.095750210681871e-18
426,G-,0.89916990930695,0.9996817205357776,true,0,-8.239936510889834e-18
427,G+,0.89916990930695,1.0026428814336086,false,0,-7.15573433840433e-18
428,G-,0.89916990930695,0.9997445548501606,true,0,-7.15573433840433e-18
429,G+,0.89916990930695,1.0022718478736268,false,0,-8.890457814381136e-18
430,G-,0.89916990930695,0.9983255514053692,true,0,-7.37257477290143e-18
431,G+,0.89916990930695,1.003204452156937,false,0,-4.9873299934333204e-18
432,G-,0.89916990930695,1.0050695615228713,false,0,-5.312590645178972e-18
433,G+,0.89916990930695,1.0002982257487592,false,0,-5.312590645178972e-18
434,G-,0.89916990930695,1.0000865459304193,false,0,-4.9873299934333204e-18
435,G+,0.89916990930695,1.0095803255003797,false,0,-5.421010862427522e-18
436,G-,0.89916990930695,0.9980237551196638,true,0,-7.914675859144182e-18
437,F,0.8991543793063995,0.9997557565566948,true,0,-8.239936510889834e-18
438,G+,0.9091543793063995,0.5830338052120635,true,0,-8.239936510889834e-18
439,G-,0.8891543793063995,2.659786365627535,false,0,-8.239936510889834e-18
440,G+,0.8991543793063995,1.0006946651117663,false,0,-5.421010862427522e-18
441,G-,0.8991543793063995,1.0007575760434706,false,0,-5.421010862427522e-18
442,G+,0.8991543793063995,1.0002880324179395,false,0,-5.312590645178972e-18
443,G-,0.8991543793063995,0.999715449674423,true,0,-2.4936649967166602e-18
444,G+,0.8991543793063995,0.9999074422343577,true,0,-5.637851296924623e-18
445,G-,0.8991543793063995,1.002586300417609,false,0,-6.071532165918825e-18
446,G+,0.8991543793063995,1.001579093441452,false,0,-3.903127820947816e-18
447,G-,0.8991543793063995,0.9974929151917068,true,0,-5.854691731421724e-18
448,G+,0.8991543793063995,0.9982445743327576,true,0,-5.095750210681871e-18
449,G-,0.8991543793063995,1.002057704965743,false,0,-2.3852447794681098e-18
450,G+,0.8991543793063995,1.0045720422247433,false,0,-3.7947076036992655e-18
451,G-,0.8991543793063995,0.9961639322296348,true,0,-5.637851296924623e-18
452,G+,0.8991543793063995,0.997898782440497,true,0,-6.938893903907228e-18
453,G-,0.8991543793063995,1.0026762116889358,false,0,-7.047314121155779e-18
454,G+,0.8991543793063995,0.997723817218506,true,0,-6.071532165918825e-18
455,G-,0.8991543793063995,1.0014489511471412,false,0,-6.396792817664476e-18
456,G+,0.8991543793063995,1.0002567271241107,false,0,-4.9873299934333204e-18
457,G-,0.8991543793063995,1.0004230668651537,false,0,-4.9873299934333204e-18
458,G+,0.8991543793063995,1.0007496958044322,false,0,-3.3610267347050637e-18
459,G-,0.8991543793063995,0.9991165516772544,true,0,-7.37257477290143e-18
460,G+,0.8991543793063995,1.0016820493199912,false,0,-5.5294310796760726e-18
461,G-,0.8991543793063995,0.9992769760934767,true,0,-5.312590645178972e-18
462,G+,0.8991543793063995,1.0015025490777119,false,0,-7.697835424647081e-18
463,G-,0.8991543793063995,0.9977867100147566,true,0,-3.686287386450715e-18
464,G+,0.8991543793063995,1.0024570907099521,false,0,-3.577867169202165e-18
465,G-,0.8991543793063995,0.9973682695405067,true,0,-4.445228907190568e-18
466,G+,0.8991543793063995,0.9996038628153612,true,0,-6.179952383167375e-18
467,G-,0.8991543793063995,0.9993067572835792,true,0,-7.047314121155779e-18
468,G+,0.8991543793063995,1.008823614655253,false,0,-7.589415207398531e-18
469,G-,0.8991543793063995,0.9974665554078699,true,0,-4.662069341687669e-18
470,F,0.8991208611383364,0.9998376279225841,true,0,-3.2526065174565133e-18
471,G+,0.9091208611383365,0.5834973049675539,true,0,-3.2526065174565133e-18
472,G-,0.8891208611383364,2.6594671844550914,false,0,-3.2526065174565133e-18
473,G+,0.8991208611383364,1.0009786453386134,false,0,-6.830473686658678e-18
474,G-,0.8991208611383364,1.0003610662475442,false,0,-4.87890977618477e-18
475,G+,0.8991208611383364,1.000461268829381,false,0,-5.095750210681871e-18
