 Count  Overhead File                    Line Function
    20         0 @Base/abstractarray.jl 1091 copyto_unaliased!(deststyle::Inde…
    20         0 @Base/indices.jl        572 iterate
    20         0 …ner_loop_functions.jl   49 inner_loop_KNITRO(obj::PsiObjecti…
    20         0 @KNITRO/src/C_wrapper.jl  102 KN_new
    20        20 @KNITRO/src/libknitro.jl   27 KN_new
    20         0 @Base/multinverses.jl   159 div
    20        20 @Base/int.jl           1000 *
    20         0 @SpecialFunctions/src/gamma.jl   47 _digamma(z::Float64)
    21         0 @Base/special/exp.jl    244 exp_impl
    21         0 @Base/twiceprecision.jl   50 canonicalize2
    21         0 @SpecialFunctions/src/gamma.jl   38 _digamma(z::Float64)
    21         3 …odular/cc_algo/Psi.jl   20 dPsi!(arg1::Vector{Float64}, arg0…
    22        22 @Base/float.jl          699 abs
    22         0 …PsiObjectiveBundle.jl  458 hessian!(h::Vector{Float64}, obj:…
    22         1 …PsiObjectiveBundle.jl  186 (::PsiObjectiveBundleImplicit{@Na…
    22         0 @Base/multinverses.jl   173 divrem
    22         0 …hFunction_jacobian.jl  100 hFunction_jacobian_calculation!(j…
    23        23 @Base/multidimensional.jl  965 _unsafe_getindex(::IndexLinear, A…
    23         0 …hFunction_jacobian.jl   28 hFunction_jacobian_copy_only!(jac…
    23         0 @SpecialFunctions/src/gamma.jl   49 _digamma(z::Float64)
    24         0 …c/smoothMinIndNew!.jl   42 MinInd2!(xInd::Vector{Float64}, x…
    24         0 …PsiObjectiveBundle.jl  201 (::PsiObjectiveBundleImplicit{@Na…
    24         1 …/moments_Jacobian!.jl  221 macro expansion
    24         0 @Base/cartesian.jl       62 macro expansion
    24         0 @Base/int.jl           1015 *
    25        25 @Base/int.jl             86 -
    25         0 @Base/sort.jl           800 _sort!
    25         0 …/moments_Jacobian!.jl  157 EK_moments_Jacobian_Simple!(jac_K…
    26        26 @Base/array.jl         1478 resize!(a::Vector{Int64}, nl_::In…
    26         0 …hFunction_jacobian.jl  126 hFunction_jacobian_calculation!(j…
    26         0 @Base/array.jl          901 iterate
    27         0 @Base/set.jl            433 _groupedunique!
    27        27 @Base/promotion.jl      637 ==
    27         0 @Base/sort.jl          1740 #sort!#23
    27         0 @Base/sort.jl          1594 _sort!
    27         0 @Base/sort.jl           561 _sort!
    27         0 @Base/sort.jl           686 _sort!
    27         0 @Base/sort.jl           747 _sort!
    28         1 @Base/sort.jl          1733 sort!
    28         0 @Base/abstractarray.jl 1383 _getindex
    29        29 @Base/float.jl          493 -
    29         0 @Base/operators.jl      425 >
    29         0 @Base/special/exp.jl    215 exp_impl
    30         0 …hFunction_jacobian.jl  130 hFunction_jacobian_calculation!(j…
    31        31 @Base/float.jl          245 Float64
    31         0 @Base/special/log.jl    186 log_proc1
    33         0 @Base/multinverses.jl   160 div
    34         0 @Base/array.jl          939 getindex
    34        34 @Base/floatfuncs.jl     358 fma
    34         1 @Base/operators.jl      642 *
    35         2 …hFunction_jacobian.jl  144 hFunction_jacobian_calculation!(j…
    36         0 @Base/multinverses.jl   158 div
    36         0 @Base/multinverses.jl   139 _mul_high
    37         0 …hFunction_jacobian.jl  121 hFunction_jacobian_calculation!(j…
    37         0 @Base/promotion.jl      433 +
    37         1 …odular/cc_algo/Psi.jl    7 Psi!(arg1::Vector{Float64}, arg0:…
    39         0 @Base/set.jl            473 unique!(itr::Vector{Int64})
    39         0 @Base/special/exp.jl    242 exp_impl
    40         0 …ter_loop_functions.jl  267 calculate_grad_k!(g::Vector{Float…
    40         0 …PsiObjectiveBundle.jl  179 (::PsiObjectiveBundleImplicit{@Na…
    41        41 @Base/reduce.jl         430 _mapreduce
    41         0 …PsiObjectiveBundle.jl  209 (::PsiObjectiveBundleImplicit{@Na…
    42         0 @Base/special/exp.jl    216 exp_impl
    43         5 …hFunction_jacobian.jl  105 hFunction_jacobian_calculation!(j…
    43         6 @Base/cartesian.jl       66 macro expansion
    43        43 @Base/essentials.jl     733 reinterpret
    44        44 @Base/cmem.jl            28 memmove
    45         0 @Base/array.jl          299 copyto!
    45         0 @Base/array.jl          308 _copyto_impl!
    45         0 @Base/genericmemory.jl  125 unsafe_copyto!
    46         0 @Base/abstractarray.jl 1466 _setindex!
    47         0 @Base/reshapedarray.jl  310 _unsafe_getindex
    47         0 …c/smoothMinIndNew!.jl   32 MinInd!(xInd::Vector{Float64}, x:…
    48         6 @SpecialFunctions/src/gamma.jl   41 _digamma(z::Float64)
    48         0 …ner_loop_functions.jl   75 inner_loop_KNITRO(obj::PsiObjecti…
    48        48 @KNITRO/src/libknitro.jl   51 KN_load_param_file
    52         0 @Base/abstractarray.jl 1090 copyto_unaliased!(deststyle::Inde…
    52         0 @Base/math.jl            94 evalpoly
    52         0 @Base/math.jl            95 macro expansion
    53         0 …PsiObjectiveBundle.jl  178 (::PsiObjectiveBundleImplicit{@Na…
    54        54 @Base/task.jl          1194 trypoptask(W::Base.IntrusiveLinke…
    55         0 @Base/reduce.jl         432 _mapreduce
    56         0 …/moments_Jacobian!.jl  191 macro expansion
    56         0 @Base/reshapedarray.jl  311 _unsafe_getindex
    56         0 @Base/reshapedarray.jl  314 _unsafe_getindex_rs
    57         0 @Base/multidimensional.jl  968 _unsafe_getindex
    58         0 @Base/special/exp.jl     78 expm1b_kernel
    61         0 …/moments_Jacobian!.jl  190 macro expansion
    65         0 @Base/number.jl           7 convert
    66         0 …hFunction_jacobian.jl   31 hFunction_jacobian_copy_only!(jac…
    68        68 @Base/partr.jl          230 multiq_check_empty()
    69         0 @SpecialFunctions/src/gamma.jl   40 _digamma(z::Float64)
    72         0 …/moments/hFunction.jl   85 hFunction!(G::SubArray{Float64, 2…
    72         0 @Base/abstractarray.jl 1070 copyto!(dest::SubArray{Float64, 2…
    73        73 @Base/math.jl             ? _broadcast_getindex
    73         0 …PsiObjectiveBundle.jl  460 hessian!(h::Vector{Float64}, obj:…
    73         0 @Base/broadcast.jl      988 copyto!
    73        73 @Base/float.jl          500 muladd
    74        74 @Base/math.jl           835 min
    74         3 …/moments/hFunction.jl   69 hFunction!(G::SubArray{Float64, 2…
    83         0 @Base/special/log.jl    289 _log
    83        83 @Base/int.jl             87 +
    84         0 @Base/reshapedarray.jl  272 _ind2sub_rs
    85        67 @Base/range.jl          921 iterate
    86         0 @Base/float.jl          709 isnan
    86        86 @Base/float.jl          622 !=
    88         0 …hFunction_jacobian.jl  123 hFunction_jacobian_calculation!(j…
    89         0 @Base/multinverses.jl   172 divrem
    89         0 @KNITRO/src/C_wrapper.jl  314 (::KNITRO.var"#_eval_fc_wrapper##…
    89         0 …ner_loop_functions.jl   30 callbackEvalFG_inner!(kc::Ptr{Not…
    90         0 @Base/array.jl          372 similar
    91         1 @KNITRO/src/C_wrapper.jl  308 _eval_fc_wrapper(ptr_model::Ptr{N…
    93         0 …PsiObjectiveBundle.jl  461 hessian!(h::Vector{Float64}, obj:…
    94         0 @Base/abstractarray.jl 3065 _sub2ind
    98         0 @Base/subarray.jl       392 setindex!
   100         4 …r/misc/SmoothDirac.jl    2 SmoothDirac
   100         0 @Base/abstractarray.jl 1377 _to_linear_index
   100         0 @Base/abstractarray.jl 3049 _sub2ind
   101         0 @Base/abstractarray.jl 1201 copymutable
   101         0 @Base/array.jl          161 vect
   101         0 @Base/math.jl          1169 pow_body(x::Float64, y::Float64)
   103       103 @Base/int.jl             88 *
   109         0 @Base/abstractarray.jl 3081 _sub2ind_recurse
   111         0 @Base/reshapedarray.jl  271 _ind2sub_rs
   111         0 …r/moments/moments!.jl  135 macro expansion
   112         8 @SpecialFunctions/src/gamma.jl   46 _digamma(z::Float64)
   112         0 @Base/reshapedarray.jl  268 ind2sub_rs
   119         0 @Base/threadingconstructs.jl  246 #EK_moments_Jacobian_Simple!##0
   119         0 @Base/threadingconstructs.jl  279 (::var"#EK_moments_Jacobian_Simpl…
   119         0 @Base/multidimensional.jl  970 _unsafe_getindex
   120       120 @Base/float.jl          496 -
   122         0 @Base/reshapedarray.jl  299 getindex
   123         0 …r/moments/moments!.jl  134 macro expansion
   124         0 @Base/reshapedarray.jl  324 setindex!
   124         0 @Base/reshapedarray.jl  335 _unsafe_setindex!
   127         0 @Base/reducedim.jl      979 minimum
   127         0 @Base/reducedim.jl      979 #minimum#747
   127         0 @Base/reducedim.jl      983 _minimum
   127         0 @Base/reducedim.jl      983 #_minimum#749
   127         0 @Base/reducedim.jl      984 _minimum
   127         0 @Base/reducedim.jl      984 #_minimum#750
   128         0 @Base/reducedim.jl      326 mapreduce
   128         0 @Base/reducedim.jl      326 #mapreduce#728
   128         0 @Base/reducedim.jl      334 _mapreduce_dim
   129       119 @Base/boot.jl           648 Array
   133        17 @Base/special/exp.jl    329 exp(x::Float64)
   134        17 @Base/special/log.jl    261 log(x::Float64)
   135         0 …/moments_Jacobian!.jl  184 EK_moments_Jacobian_Simple!(jac_K…
   142         0 …/moments_Jacobian!.jl  187 EK_moments_Jacobian_Simple!(jac_K…
   147        13 @Base/math.jl          1173 pow_body(x::Float64, y::Float64)
   156       156 @Base/float.jl          495 +
   160        31 @Base/sort.jl          1769 #sort#24
