radius,seed,gp,ok,inner_status,Delta_dual,elapsed,Aod_theta_min,Aod_theta_max
0.1,1,0.9820558049564642,true,0,0.39241588153519485,6.976402997970581,1.1819192356608714,4.626330427640825
0.1,2,0.9188664560857186,true,0,0.7704819206426023,0.030889034271240234,1.3593364211384025,4.2719739491634545
0.1,3,0.9722477126678684,true,0,0.0848198602301753,0.027797937393188477,1.1951358907006013,4.2831546431443845
0.1,4,0.860080393825641,false,-300,NaN,0.015577077865600586,1.3244994331395725,4.353829569499742
0.1,5,0.9109654057555542,false,-300,NaN,0.015202045440673828,1.2335402390957362,4.347019778313801
0.1,6,0.8661841844201777,false,-300,NaN,0.01491093635559082,1.1554872253870714,4.263092501650166
0.1,7,0.9641293806702262,true,0,0.26537488565592415,0.030225038528442383,1.2023577035521387,4.78945839462531
0.1,8,0.8699885718310055,false,-300,NaN,0.016605138778686523,1.1669178712728465,4.407582328810779
0.2,1,0.8940367995797495,false,-300,NaN,0.02077484130859375,1.3042720238029055,4.4435337391542395
0.2,2,0.9975660025018309,false,-300,NaN,0.014991998672485352,1.0463898985057112,5.024361679496889
0.2,3,0.8555220455239464,false,-300,NaN,0.017379045486450195,1.1182800593822226,6.002725863737913
0.2,4,0.8799820518004494,false,-300,NaN,0.015336036682128906,1.1138093816883505,5.751240828190597
0.2,5,0.9759250466816994,true,0,0.24215409828000928,0.40555787086486816,1.1154229666608826,6.763995021923079
0.2,6,0.8872510797126739,false,-300,NaN,0.01584911346435547,0.9472400085743644,5.075641761510141
0.2,7,0.8839174779814467,false,-300,NaN,0.012958049774169922,1.3277428938567024,4.037247985657482
0.2,8,0.8917211418233097,false,-300,NaN,0.014873981475830078,1.0399297004178527,4.628356410716406
0.5,1,0.8962025286409049,false,-300,NaN,0.012141942977905273,0.6168017745204495,6.0333724191392015
0.5,2,0.9573555776872976,false,-300,NaN,0.011556148529052734,0.7894886126990046,7.150227609372787
0.5,3,0.8751562760460174,false,-300,NaN,0.0117340087890625,0.8102664634784484,16.806632541090202
0.5,4,0.9848668811935873,false,-300,NaN,0.010753870010375977,0.8463924451160988,10.573207821885504
0.5,5,0.9989393276900157,false,-300,NaN,0.012340068817138672,0.8829963093961132,6.667500221018008
0.5,6,0.9478866394467956,false,-300,NaN,0.013881921768188477,0.2648279148665904,7.218525756110793
0.5,7,0.892975743715425,false,-300,NaN,0.015012025833129883,0.9659138220775284,8.997436239172298
0.5,8,0.9313215367667181,false,-300,NaN,0.013782978057861328,0.8034606306994182,8.182850379746093
1.0,1,0.9519400690313595,false,-300,NaN,0.011893987655639648,0.3948997878065228,19.233562543675248
1.0,2,0.8652087965801106,false,-300,NaN,0.01105189323425293,0.6989467054225966,20.093569454827936
1.0,3,0.9228009393851215,false,-300,NaN,0.009799003601074219,0.22034006002313705,24.234359650198765
1.0,4,0.9171200717608031,false,-300,NaN,0.012755155563354492,0.16420039715368792,21.282559841585122
1.0,5,0.952740164773416,false,-300,NaN,0.012765169143676758,0.6558331669414688,21.540417244135053
1.0,6,0.8551058760646043,false,-300,NaN,0.012328147888183594,0.6649711113852564,17.848561879852745
1.0,7,0.9009187389750402,false,-300,NaN,0.01288914680480957,0.1932485072564904,6.200878396658919
1.0,8,0.9704909830327529,false,-300,NaN,0.012139081954956055,0.25588595448020013,15.608106574793513
2.0,1,0.9421975190891828,false,-300,NaN,0.01179814338684082,0.06289870070555058,88.60530206788839
2.0,2,0.8752102989858102,false,-300,NaN,0.012129068374633789,0.3792786267214089,135.79906085265614
2.0,3,0.8890374806788047,false,-300,NaN,0.010998010635375977,0.03602762633767822,1902.3088622281505
2.0,4,0.9127383252294617,false,-300,NaN,0.011938095092773438,0.033634582568610696,119.61761081607759
2.0,5,0.870926696272942,false,-300,NaN,0.011986017227172852,0.004646993884716504,44.68599713262802
2.0,6,0.9492005421936929,false,-300,NaN,0.011055946350097656,0.12188621898878257,69.50760063642997
2.0,7,0.8566839479084718,false,-300,NaN,0.011713981628417969,0.11487295838303015,136.04596250148717
2.0,8,0.9283784430713657,false,-300,NaN,0.011890888214111328,0.26938698753737994,604.3799902170201
4.0,1,0.9639853540687386,false,-300,NaN,0.01115107536315918,0.00011595133259633387,966.9469631663612
4.0,2,0.8767025872174762,false,-300,NaN,0.011137008666992188,0.06962668547673499,1617.6577317758959
4.0,3,0.9077190752082603,false,-300,NaN,0.014698982238769531,0.0006942466650737913,226.09885522781263
4.0,4,0.966944628891665,false,-300,NaN,0.010908126831054688,0.029799219279128385,1.8551540201935684e6
4.0,5,0.9012172819205162,false,-300,NaN,0.011083841323852539,0.0017503498871702348,383.9238780791057
4.0,6,0.9287648557490732,false,-300,NaN,0.03682398796081543,0.011252986038860407,49.90829995633447
4.0,7,0.9196306773337767,false,-300,NaN,0.010386943817138672,0.00018912155758889532,763.6287824790654
4.0,8,0.9479873260318755,false,-300,NaN,0.010254144668579102,0.007350788195497188,4297.485375991445
