radius,seed,ok,inner_status,Delta_dual
0.05,1,true,0,0.008085249872504028
0.05,2,true,0,0.03954097921433201
0.05,3,true,0,0.1868759275556113
0.05,4,true,0,0.023996626585745945
0.05,5,true,0,0.011395190896888003
0.05,6,true,0,0.08094613594332421
0.05,7,true,0,0.047958331241651865
0.05,8,true,0,0.018840750702145748
0.1,1,true,0,0.4426519954096389
0.1,2,true,0,0.07011452734157615
0.1,3,true,0,0.05355097514295879
0.1,4,true,0,0.12103113868282879
0.1,5,true,0,0.281580860832526
0.1,6,false,-300,NaN
0.1,7,false,-300,NaN
0.1,8,true,0,0.11211969425047372
0.2,1,true,0,0.35536641110776424
0.2,2,false,-300,NaN
0.2,3,false,-300,NaN
0.2,4,false,-300,NaN
0.2,5,false,-300,NaN
0.2,6,true,0,0.18043989300182608
0.2,7,true,0,0.2505944565092986
0.2,8,true,0,0.7137760905600273
0.5,1,false,-300,NaN
0.5,2,false,-300,NaN
0.5,3,false,-300,NaN
0.5,4,false,-300,NaN
0.5,5,false,-300,NaN
0.5,6,false,-300,NaN
0.5,7,false,-300,NaN
0.5,8,false,-300,NaN
