arm,delta,kappa,gp,Delta_dual,nu,max_mean_resid,max_pair_resid,primal_dual_gap,mean_m_resid,gravity_resid,n_eval,wall,knitro_status
cm_only,0.1,0.10424350473766841,0.9360821839683343,0.09989011835694607,NaN,NaN,NaN,NaN,NaN,NaN,798,48.237141847610474,-102
cm_plus_mean,0.1,0.1043805128458658,0.9359962757287471,0.09995960333711344,1.0197422597168742,8.637535131583718e-13,NaN,4.775346784668955e-13,7.844835892001356e-13,8.044780119848754e-17,422,30.588726043701172,-101
cm_plus_mean_zero_covariance,0.1,0.10403999446385692,0.9362097813816759,0.10000005172170057,1.008542650592017,6.401545959988653e-13,6.292744103575387e-13,3.0350721935690217e-13,5.653255641391297e-13,3.512815038855021e-17,761,82.37492299079895,-500
cm_only,1.0,0.1681813824663939,0.8954001892474309,0.9998450491466656,NaN,NaN,NaN,NaN,NaN,NaN,632,47.83706712722778,-500
cm_plus_mean,1.0,0.1679485943448621,0.8955505298568248,0.9994554056150339,1.0474229305257068,4.440892098500626e-16,NaN,5.551115123125783e-16,2.220446049250313e-16,1.1362438767648082e-16,423,32.07999515533447,-103
cm_plus_mean_zero_covariance,1.0,0.16738328921800816,0.8959155485558532,0.9999940214674437,1.035865249638783,4.440892098500626e-16,4.440892098500626e-16,1.887379141862766e-15,4.440892098500626e-16,9.454242944073594e-17,791,90.23072385787964,-401
