arm,start,kappa,n_eval,n_grad,wall,knitro_status,best_gp,best_Delta,nu
cm_only,calibration,0.05938306566924101,28,21,1492.3649311065674,-401,0.9639348366160169,0.9895009538888008,NaN
cm_plus_mean,calibration,0.05576572130902102,35,12,977.2074680328369,-401,0.9661573399586784,0.9999620287613318,1.0670260082975624
cm_plus_mean_zero_covariance,calibration,0.05347352527725857,23,7,957.9304020404816,-411,0.9675639069874873,0.9786492261949674,1.092200099097867
cm_only,existing_incumbent,0.061179188719340805,9,5,1198.0586140155792,-411,0.9628300250958896,0.9111775195161491,NaN
cm_plus_mean,existing_incumbent,0.06421512779825578,30,25,1025.6024820804596,-401,0.9609606672905373,0.990205737627208,1.0503557903180012
cm_plus_mean_zero_covariance,existing_incumbent,0.06168319210601925,15,14,1029.7513110637665,-411,0.9625198561879568,0.9823882938293667,0.9895915741058073
