label,delta,Delta_dual,cold_diff,maxerr,relerr,cosine,sign_mismatches,D2m1,ref_wall_median,cp_wall_median,ref_alloc_median,cp_alloc_median,speedup,passed,inner_status
chain1_delta0.1,0.1,0.09997925564138475,4.163336342344337e-17,3.903127820947816e-15,2.3954508387237246e-16,0.9999999999999998,0,399,5.107145994,0.863650304,13881.246176,162.347392,5.913442015068172,true,0
chain1_delta1.0,1.0,0.9995949651746738,1.1102230246251565e-15,7.632783294297951e-14,6.565954376500476e-16,1.0,0,399,4.436347298,0.759861381,13883.820736,162.38332,5.8383639554909825,true,0
chain1_delta2.0,2.0,1.9992957197075283,2.6645352591003757e-15,1.1379786002407855e-13,1.7367854777514308e-16,1.0000000000000002,0,399,4.8432394,0.891541337,13881.249296,162.328888,5.432433919774602,true,0
chain2_delta1.0,1.0,0.9998855856806715,3.3306690738754696e-16,2.220446049250313e-13,1.794180066733125e-15,1.0000000000000002,0,399,5.712855401,0.835442173,13883.836032,162.38348,6.838121878005792,true,0
chain3_delta1.0,1.0,0.998467087955863,4.440892098500626e-16,1.8596235662471372e-13,1.7020502658645825e-15,0.9999999999999996,0,399,4.76880928,0.96843137,13883.8216,162.383448,4.9242614683165415,true,0
