Building real D=20 context...
diffPreStep = diff = 1.4854166091639391
diffPreStep = diff = 1.7072681224306052e-7
diffPreStep = diff = 1.7072621538716248e-7
diffPreStep = diff = 1.7072524549632817e-7
diffPreStep = diff = 1.707242773818507e-7
diffPreStep = diff = 1.7072330749101639e-7
diffPreStep = diff = 1.707223393765389e-7
diffPreStep = diff = 1.7072137126206144e-7
diffPreStep = diff = 1.707203995948703e-7
diffPreStep = diff = 1.7071943148039281e-7
diffPreStep = diff = 1.707184615895585e-7
diffPreStep = diff = 1.707174970277947e-7
diffPreStep = diff = 1.7071653068967407e-7
diffPreStep = diff = 1.7071555902248292e-7
diffPreStep = diff = 1.7071458735529177e-7
diffPreStep = diff = 1.7071361746445746e-7
diffPreStep = diff = 1.7071265290269366e-7
diffPreStep = diff = 1.707116812355025e-7
diffPreStep = diff = 1.7071071312102504e-7
diffPreStep = diff = 1.7070974323019072e-7
diffPreStep = diff = 1.707087733393564e-7
diffPreStep = diff = 1.707078034485221e-7
diffPreStep = diff = 1.707068388867583e-7
diffPreStep = diff = 1.7070586721956715e-7
diffPreStep = diff = 1.7070489910508968e-7
diffPreStep = diff = 1.707039256615417e-7
diffPreStep = diff = 1.7070295754706422e-7
diffPreStep = diff = 1.7070199120894358e-7
diffPreStep = diff = 1.7070101954175243e-7
diffPreStep = diff = 1.7070005142727496e-7
diffPreStep = diff = 1.7069908331279748e-7
diffPreStep = diff = 1.7069811697467685e-7
diffPreStep = diff = 1.7069714886019938e-7
diffPreStep = diff = 1.7069617541665139e-7
diffPreStep = diff = 1.706952108548876e-7
diffPreStep = diff = 1.706942374113396e-7
diffPreStep = diff = 1.706932728495758e-7
diffPreStep = diff = 1.7069230118238465e-7
diffPreStep = diff = 1.7069133484426402e-7
diffPreStep = diff = 1.706903649534297e-7
diffPreStep = diff = 1.7068939683895223e-7
diffPreStep = diff = 1.7068842872447476e-7
diffPreStep = diff = 1.7068745528092677e-7
diffPreStep = diff = 1.7068649071916298e-7
diffPreStep = diff = 1.706855226046855e-7
diffPreStep = diff = 1.706845527138512e-7
diffPreStep = diff = 1.7068358282301688e-7
diffPreStep = diff = 1.706826147085394e-7
diffPreStep = diff = 1.7068164659406193e-7
diffPreStep = diff = 1.7068067670322762e-7
diffPreStep = diff = 1.7067971214146382e-7
diffPreStep = diff = 1.7067873869791583e-7
diffPreStep = diff = 1.7067777058343836e-7
diffPreStep = diff = 1.7067680246896089e-7
diffPreStep = diff = 1.7067583435448341e-7
diffPreStep = diff = 1.7067486268729226e-7
diffPreStep = diff = 1.7067389634917163e-7
diffPreStep = diff = 1.70672930011051e-7
diffPreStep = diff = 1.7067195834385984e-7
diffPreStep = diff = 1.7067099022938237e-7
diffPreStep = diff = 1.7067002389126174e-7
diffPreStep = diff = 1.706690486713569e-7
diffPreStep = diff = 1.7066808588594995e-7
diffPreStep = diff = 1.7066711599511564e-7
diffPreStep = diff = 1.7066614432792448e-7
diffPreStep = diff = 1.7066517798980385e-7
diffPreStep = diff = 1.7066420809896954e-7
diffPreStep = diff = 1.7066323998449207e-7
diffPreStep = diff = 1.7066227009365775e-7
diffPreStep = diff = 1.7066130375553712e-7
diffPreStep = diff = 1.706603338647028e-7
diffPreStep = diff = 1.7065936752658217e-7
diffPreStep = diff = 1.7065839763574786e-7
