rho,point,t_moments_build,t_inner_solve_warm,t_inner_solve_cold,t_value_callback,t_grad_warmed_median,grad_bytes_median,forwarddiff_chunksize,t_jac_materialize_diagnostic,jac_bytes_median
0.0054,upper_lfixcomposite_sr1_60s,0.005536908,0.007305374,0.016123442,0.0068160755,0.0437147475,7.7375888e7,8,0.05343019,9.3505592e7
0.0027,upper_lfixcomposite_sr1_60s,0.0051078795,0.006059137,0.014694104,0.005296262,0.0440102555,7.7375824e7,8,0.051748233000000005,9.3505592e7
